,pot,species,co2_lvl,water_lvl,ag_biomass,bg_biomass,rep_biomass,flowers_num,fruit_num,transplanted_w_leaf,transplanted_w_radicle,total_cnt,ag_biomass_m,total_biomass,log_total_biomass,water_low,water_fluct,water_high,treatment
65,156,NAOF,1,High,0.1351,0.0318,0.0293,10.0,,10,0,10,0.01351,0.1669,-1.7903604483143476,0,0,1,CO2High_WH
66,12,NAOF,1,Low,0.0562,0.0612,0.0136,6.0,3.0,1,0,1,0.0562,0.1174,-2.142168371588141,1,0,0,CO2High_WL
67,33,NAOF,1,Low,0.262,0.1026,0.1044,25.0,7.0,0,0,0,inf,0.36460000000000004,-1.0089544167375744,1,0,0,CO2High_WL
68,77,NAOF,1,Low,0.134,0.1412,0.0583,16.0,8.0,10,2,12,0.011166666666666667,0.2752,-1.2902571729229484,1,0,0,CO2High_WL
69,81,NAOF,1,Low,0.1354,0.0741,0.0623,7.0,8.0,0,0,0,inf,0.2095,-1.5630315396199446,1,0,0,CO2High_WL
70,129,NAOF,1,Low,0.1486,0.1655,0.123,9.0,9.0,0,0,0,inf,0.31410000000000005,-1.1580438724375361,1,0,0,CO2High_WL
71,169,NAOF,1,Low,0.094,0.0619,0.0456,12.0,4.0,1,3,4,0.0235,0.15589999999999998,-1.8585405029184063,1,0,0,CO2High_WL
72,80,POMO,0,Fluct,0.7179,1.3124,,,,10,0,10,0.07178999999999999,2.0303,0.7081835653860585,0,1,0,CO2Amb_WA
73,141,POMO,0,Fluct,0.4385,0.7409,,,,10,0,10,0.04385,1.1794,0.1650058345842667,0,1,0,CO2Amb_WA
74,148,POMO,0,Fluct,0.4507,1.059,,,,10,0,10,0.04507,1.5097,0.41191095559155333,0,1,0,CO2Amb_WA
75,164,POMO,0,Fluct,0.5178,0.9119,,,,10,0,10,0.05178000000000001,1.4297,0.3574646320529814,0,1,0,CO2Amb_WA
76,172,POMO,0,Fluct,0.6724,1.4142,0.0382,2.0,,10,0,10,0.06724,2.0866,0.7355359470517319,0,1,0,CO2Amb_WA
77,173,POMO,0,Fluct,0.4472,1.1038,,,,10,0,10,0.044719999999999996,1.551,0.43889988419440173,0,1,0,CO2Amb_WA
78,5,POMO,0,High,0.4429,0.8217,,,,10,0,10,0.04429,1.2646,0.23475586664237574,0,0,1,CO2Amb_WH
79,15,POMO,0,High,0.6878,1.3639,,,,10,0,10,0.06878,2.0517,0.718668717790023,0,0,1,CO2Amb_WH
80,104,POMO,0,High,0.795,3.6178,,,,10,0,10,0.0795,4.4128,1.4845094086168455,0,0,1,CO2Amb_WH
81,114,POMO,0,High,0.2582,0.6833,,,,13,0,13,0.01986153846153846,0.9415,-0.060280930884929945,0,0,1,CO2Amb_WH
82,139,POMO,0,High,0.6406,1.0204,,,,10,0,10,0.06405999999999999,1.661,0.5074198306311578,0,0,1,CO2Amb_WH
83,160,POMO,0,High,0.4536,1.1518,,,,10,0,10,0.04536,1.6054,0.4733729467153394,0,0,1,CO2Amb_WH
84,21,POMO,0,Low,0.6952,1.0598,,,,0,0,0,inf,1.7550000000000001,0.5624688569178292,1,0,0,CO2Amb_WL
85,39,POMO,0,Low,0.5879,1.1966,,,,11,0,11,0.053445454545454546,1.7845,0.579138263948078,1,0,0,CO2Amb_WL
86,58,POMO,0,Low,1.6259,2.1475,0.1716,3.0,,7,0,7,0.23227142857142855,3.7733999999999996,1.3279764517953756,1,0,0,CO2Amb_WL
87,118,POMO,0,Low,0.312,0.6596,,,,0,0,0,inf,0.9716,-0.0288110818541196,1,0,0,CO2Amb_WL
88,121,POMO,0,Low,0.9423,0.693,0.2402,3.0,,2,0,2,0.47115,1.6353,0.4918262737562078,1,0,0,CO2Amb_WL
89,147,POMO,0,Low,1.1565,1.4495,0.0788,2.0,,0,0,0,inf,2.606,0.9578164787026533,1,0,0,CO2Amb_WL
90,14,POMO,1,Fluct,0.4169,1.375,,,,10,0,10,0.04169,1.7919,0.5832765094242329,0,1,0,CO2High_WA
91,17,POMO,1,Fluct,0.3462,1.0989,,,,10,0,10,0.03462,1.4451,0.3681785233221478,0,1,0,CO2High_WA
92,49,POMO,1,Fluct,0.2986,0.9181,,,,10,0,10,0.029859999999999998,1.2167,0.19614227581126625,0,1,0,CO2High_WA
93,69,POMO,1,Fluct,0.3101,0.4652,,,,10,0,10,0.03101,0.7753,-0.25450522775722373,0,1,0,CO2High_WA
94,72,POMO,1,Fluct,0.2835,0.7774,,,,11,0,11,0.02577272727272727,1.0609,0.05911760448308876,0,1,0,CO2High_WA
95,128,POMO,1,Fluct,0.2207,1.0981,,,,13,0,13,0.016976923076923077,1.3188,0.2767222322154389,0,1,0,CO2High_WA
96,11,POMO,1,High,0.2969,0.7388,,,,11,0,11,0.02699090909090909,1.0357,0.03507752661269616,0,0,1,CO2High_WH
97,57,POMO,1,High,0.4125,1.1482,,,,10,0,10,0.041249999999999995,1.5607000000000002,0.44513443856637097,0,0,1,CO2High_WH
98,98,POMO,1,High,0.4134,1.4691,,,,10,0,10,0.04134,1.8825,0.6326006806919117,0,0,1,CO2High_WH
99,112,POMO,1,High,0.3722,0.9456,,,,13,0,13,0.02863076923076923,1.3178,0.27596367949758255,0,0,1,CO2High_WH
100,138,POMO,1,High,0.4711,0.9831,,,,10,0,10,0.04711,1.4542,0.3744559212338194,0,0,1,CO2High_WH
101,159,POMO,1,High,0.3365,0.9441,,,,9,0,9,0.03738888888888889,1.2806000000000002,0.2473287181025649,0,0,1,CO2High_WH
102,20,POMO,1,Low,0.7234,0.7443,,,,1,0,1,0.7234,1.4677,0.38369654963501604,1,0,0,CO2High_WL
103,35,POMO,1,Low,0.6178,0.7734,,,,9,0,9,0.06864444444444445,1.3912,0.3301666840579362,1,0,0,CO2High_WL
104,66,POMO,1,Low,0.4056,0.6828,,,,0,0,0,inf,1.0884,0.0847087279269542,1,0,0,CO2High_WL
105,71,POMO,1,Low,0.287,0.6315,,,,1,0,1,0.287,0.9184999999999999,-0.08501337432695685,1,0,0,CO2High_WL
106,88,POMO,1,Low,1.8492,1.7957,,,,1,0,1,1.8492,3.6449,1.2933289302420297,1,0,0,CO2High_WL
107,137,POMO,1,Low,0.5945,0.8944,,,,8,0,8,0.0743125,1.4889000000000001,0.39803759227936786,1,0,0,CO2High_WL
144,28,VEAN,0,Fluct,0.1341,0.1445,,,,10,0,10,0.01341,0.27859999999999996,-1.2779782176364318,0,1,0,CO2Amb_WA
145,43,VEAN,0,Fluct,0.1449,0.201,,,,10,0,10,0.01449,0.3459,-1.061605563039014,0,1,0,CO2Amb_WA
146,54,VEAN,0,Fluct,0.2715,0.2243,,,,10,0,10,0.02715,0.4958,-0.7015826593810469,0,1,0,CO2Amb_WA
