,num,species,chamber,shelf,water_lvl,rep,ag_biomass,bg_biomass,diam,stem_len,root_len,ag2,bg2,total_biomass,log_total_biomass,co2_lvl,co2_cat,water_low,water_fluct,water_high,treatment
82,83,SAGO,1,2,Low,4,0.5934,1.2438,2.4,,,,,1.8372000000000002,0.6082426734695014,0,Ambient,1,0,0,CO2Amb_WL
85,86,SAGO,1,3,Low,6,0.6445,0.853,2.29,,,,,1.4975,0.4037970510074674,0,Ambient,1,0,0,CO2Amb_WL
86,87,SAGO,2,2,Low,1,1.007,0.4964,1.91,,,,,1.5033999999999998,0.40772920976123134,0,Ambient,1,0,0,CO2Amb_WL
88,89,SAGO,2,3,Low,3,1.2142,0.8979,2.55,,,,,2.1121,0.7476827132079593,0,Ambient,1,0,0,CO2Amb_WL
91,92,SAGO,2,1,Low,5,0.46785,0.25775000000000003,1.79,,,0.5172,0.3114,0.7256,-0.32075638018121017,0,Ambient,1,0,0,CO2Amb_WL
96,97,SAGO,3,1,Low,2,0.46320000000000006,0.25225,1.33,,,0.5592,0.2969,0.71545,-0.33484356362939305,1,High,1,0,0,CO2High_WL
99,100,SAGO,3,3,Low,4,0.4083,0.3211,1.18,,,,,0.7294,-0.3155330006075571,1,High,1,0,0,CO2High_WL
102,103,SAGO,3,2,Low,6,0.3082,0.3122,1.78,,,,,0.6204,-0.47739084767975337,1,High,1,0,0,CO2High_WL
105,106,SAGO,4,3,Low,1,1.5127,0.6192,2.48,,,,,2.1319,0.7570136008883592,1,High,1,0,0,CO2High_WL
107,108,SAGO,4,1,Low,3,1.547,0.7203,2.39,,,,,2.2673,0.8185896962504599,1,High,1,0,0,CO2High_WL
110,111,SAGO,4,2,Low,5,1.5403,1.3232,2.76,,,,,2.8635,1.052044652851775,1,High,1,0,0,CO2High_WL
115,116,TACH,1,2,Fluct,3,0.4379,0.2344,0.96,,,,,0.6723,-0.39705060950714605,0,Ambient,0,1,0,CO2Amb_WA
117,118,TACH,1,1,Fluct,4,0.3616,0.1037,1.08,,,,,0.4653,-0.7650729201315343,0,Ambient,0,1,0,CO2Amb_WA
121,122,TACH,1,3,Fluct,6,0.6318,0.1275,1.36,,,,,0.7593000000000001,-0.27535832276294886,0,Ambient,0,1,0,CO2Amb_WA
122,123,TACH,2,3,Fluct,1,0.2805,0.0328,0.96,,,,,0.3133,-1.160594081023991,0,Ambient,0,1,0,CO2Amb_WA
125,126,TACH,2,2,Fluct,2,0.1223,0.0527,0.8,,,,,0.175,-1.742969305058623,0,Ambient,0,1,0,CO2Amb_WA
128,129,TACH,2,1,Fluct,5,0.229,0.0722,0.96,,,,,0.3012,-1.1999807830563984,0,Ambient,0,1,0,CO2Amb_WA
132,133,TACH,3,1,Fluct,1,0.688,0.118,1.36,,,,,0.8059999999999999,-0.21567153647550882,1,High,0,1,0,CO2High_WA
134,135,TACH,3,3,Fluct,2,0.5161,0.2005,1.41,,,,,0.7166,-0.33323747411128357,1,High,0,1,0,CO2High_WA
139,140,TACH,3,2,Fluct,5,0.2599,0.089,1.1,,,,,0.3489,-1.0529699307894087,1,High,0,1,0,CO2High_WA
142,143,TACH,4,3,Fluct,3,0.2234,0.04,0.92,,,,,0.26339999999999997,-1.3340814896729565,1,High,0,1,0,CO2High_WA
144,145,TACH,4,2,Fluct,4,0.6828,0.1101,1.33,,,,,0.7928999999999999,-0.23205816870378393,1,High,0,1,0,CO2High_WA
